Data,Campanha,Envios,Entregas,Cliques
2026-08-12,20260812_guanabara_insider_apppush_antecipacao_emqueda,26,25,4
2026-08-12,20260812_guanabara_insider_apppush_antecipacao_frios,200,196,30
2026-08-12,20260812_guanabara_insider_apppush_formasdepagamento,760,744,114
2026-08-12,20260812_guanabara_insider_apppush_formasdepagamento_ativos,286,280,43
2026-08-12,20260812_guanabara_insider_apppush_rockinrio_ativos,280,274,42
2026-08-12,20260812_guanabara_insider_apppush_rockinrio_emqueda,53,51,8
2026-08-12,20260812_guanabara_insider_apppush_vivafidelidade_ativos,480,470,72
2026-08-12,20260812_guanabara_insider_apppush_vivafidelidade_emqueda,66,64,10
2026-08-12,20260812_guanabara_insider_sms_antecipacao_ativos,140,137,21
2026-08-12,20260813_guanabara_insider_apppush_rockinrio,6,5,1
2026-08-11,20260811_guanabara_insider_apppush_antecipacao_ativos,360,352,54
2026-08-11,20260811_guanabara_insider_apppush_formasdepagamento_ativos,373,365,56
2026-08-11,20260811_guanabara_insider_apppush_formasdepagamento_emqueda,80,78,12
2026-08-11,20260811_guanabara_insider_apppush_formasdepagamento_frios,193,189,29
2026-08-11,20260811_guanabara_insider_apppush_rockinrio,560,548,84
2026-08-11,20260811_guanabara_insider_apppush_rockinrio_ativos,353,345,53
2026-08-11,20260811_guanabara_insider_apppush_rockinrio_emqueda,53,51,8
2026-08-11,20260811_guanabara_insider_apppush_vivafidelidade_emqueda,153,149,23
2026-08-10,20260810_guanabara_insider_apppush_antecipacao_frios,160,156,24
2026-08-10,20260810_guanabara_insider_apppush_formasdepagamento_emqueda,73,71,11
2026-08-10,20260810_guanabara_insider_apppush_reativacao_emqueda,100,98,15
2026-08-10,20260810_guanabara_insider_apppush_rockinrio_ativos,486,476,73
2026-08-10,20260810_guanabara_insider_apppush_rotina,540,529,81
2026-08-10,20260810_guanabara_insider_apppush_vivafidelidade_ativos,586,574,88
2026-08-10,20260810_guanabara_insider_apppush_vivafidelidade_emqueda,120,117,18
2026-08-09,20260809_guanabara_insider_apppush_cupom_frios,246,241,37
2026-08-09,20260809_guanabara_insider_apppush_diadospais,453,443,68
2026-08-09,20260809_guanabara_insider_apppush_diadospais_ativos,353,345,53
2026-08-09,20260809_guanabara_insider_apppush_diadospais_emqueda,20,19,3
2026-08-09,20260809_guanabara_insider_apppush_diadospais_emqueda2,60,58,9
2026-08-09,20260809_guanabara_insider_apppush_reativacao_emqueda,100,98,15
2026-08-09,20260809_guanabara_insider_apppush_vivafidelidade_ativos,700,686,105
2026-08-08,20260808_guanabara_insider_apppush_antecipacao_ativos,373,365,56
2026-08-08,20260808_guanabara_insider_apppush_cupom_frios,253,247,38
2026-08-08,20260808_guanabara_insider_apppush_diadospais_ativos,393,385,59
2026-08-08,20260808_guanabara_insider_apppush_diadospais_emqueda,46,45,7
2026-08-08,20260808_guanabara_insider_apppush_formasdepagamento,600,588,90
2026-08-08,20260808_guanabara_insider_apppush_reativacao_emqueda,113,110,17
2026-08-08,20260808_guanabara_insider_apppush_vivafidelidade_ativos,793,777,119
2026-08-08,20260808_guanabara_insider_apppush_vivafidelidade_emqueda,113,110,17
2026-08-08,20260808_guanabara_insider_sms_formasdepagamento_ativos,66,64,10
2026-08-07,20260807_guanabara_insider_apppush_antecipacao_ativos,506,495,76
2026-08-07,20260807_guanabara_insider_apppush_comercial_ativos,480,470,72
2026-08-07,20260807_guanabara_insider_apppush_diadospais_emqueda,86,84,13
2026-08-07,20260807_guanabara_insider_apppush_diadospais_frios,266,260,40
2026-08-07,20260807_guanabara_insider_apppush_reativacao_emqueda,160,156,24
2026-08-07,20260807_guanabara_insider_apppush_rotina,726,711,109
2026-08-07,20260807_guanabara_insider_apppush_vivafidelidade_ativos,486,476,73
2026-08-07,20260807_guanabara_insider_sms_diadospais_ativos,53,51,8
2026-08-06,20260806_guanabara_insider_apppush_antecipacao_emqueda,113,110,17
2026-08-06,20260806_guanabara_insider_apppush_antecipacao_frios,173,169,26
2026-08-06,20260806_guanabara_insider_apppush_diadospais_A,146,143,22
